time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-9-22 8:46:27.96	WT901BLE68(66B8CDDB35E6)	0.000	0.006	1.035	0.000	0.000	0.000	0.18	0.15	-58.91	-46.483	27.425	-72.100	0.87070	0.00201	0.00034	-0.49173	20.4	13113	75
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.011	-0.018	1.017	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.011	-0.018	1.017	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.011	-0.018	1.017	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.011	-0.019	1.017	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.011	-0.019	1.017	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.011	-0.019	1.017	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.009	-0.019	1.017	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.104	WT901BLE68(76B4B30218CB)	-0.009	-0.017	1.020	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
2025-9-22 8:46:27.134	WT901BLE68(76B4B30218CB)	-0.009	-0.017	1.020	0.000	0.000	0.000	-2.70	0.21	82.52	-10.033	-72.000	-133.392	0.75159	-0.00793	-0.00256	0.65948	18.2	13113	100
