Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 08:17:08.023,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.804, 0.601, 2.075, 0.61, -0.488, 51.735, 8.218, 22.335, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.024,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.811, 0.597, 2.563, 0.549, -0.061, 51.746, 8.218, 22.335, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.024,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.811, 0.597, 2.563, 0.549, -0.061, 51.762, 8.223, 22.335, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.024,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.811, 0.597, 2.563, 0.549, -0.061, 51.773, 8.223, 22.341, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.024,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.811, 0.597, 2.563, 0.549, -0.061, 51.784, 8.229, 22.341, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.024,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.81, 0.589, 2.869, 0.916, 0.549, 51.801, 8.229, 22.346, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.024,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.81, 0.589, 2.869, 0.916, 0.549, 51.812, 8.229, 22.352, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.024,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.157, 0.81, 0.589, 2.869, 0.916, 0.549, 51.828, 8.234, 22.357, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
 08:17:08.037,d6:24:01:31:b7:6e, 2015-01-01 00:58:55.080, -0.094, 0.936, 0.358, 2.93, 0.671, -0.305, 68.637, 5.015, -74.152, -14.333, -41.553, -22.160, 25.66, 0.64319, 0.47153, -0.31085, -0.51697,
 08:17:08.053,f7:68:33:b1:9e:f1, 2015-01-01 01:03:10.045, -0.156, 0.81, 0.589, 2.869, 0.916, 0.549, 51.844, 8.234, 22.363, -12.080, -81.380, -162.980, 23.75, -0.88193, -0.42389, -0.14954, -0.1416,
