time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.004	0.034	1.015	0.000	0.000	0.000	-0.52	-0.30	59.78	-45.583	-86.525	-180.108	0.86731	0.01053	0.00455	0.49750	23.1	13113	100
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.007	0.034	1.015	0.000	0.000	0.000	-0.52	-0.30	59.79	-45.583	-86.525	-180.108	0.86731	0.01053	0.00455	0.49750	23.1	13113	100
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.007	0.036	1.016	-0.122	0.000	0.000	-0.52	-0.30	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.007	0.036	1.016	-0.122	0.000	0.000	-0.52	-0.30	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.007	0.036	1.016	-0.122	0.000	0.000	-0.52	-0.30	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.004	0.036	1.016	-0.122	0.000	0.000	-0.52	-0.29	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.004	0.033	1.014	-0.366	-0.122	0.000	-0.52	-0.29	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.597	WT901BLE68(B088180A53F4)	-0.004	0.033	1.014	-0.366	-0.122	0.000	-0.52	-0.29	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.641	WT901BLE68(B088180A53F4)	-0.004	0.033	1.014	-0.366	-0.122	0.000	-0.52	-0.29	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.642	WT901BLE68(B088180A53F4)	0.002	0.033	1.014	-0.366	-0.122	0.000	-0.52	-0.29	59.79	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.642	WT901BLE68(B088180A53F4)	0.002	0.021	1.013	-0.366	-0.122	0.000	-0.52	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.642	WT901BLE68(B088180A53F4)	0.002	0.021	1.013	-0.366	-0.122	0.000	-0.52	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.642	WT901BLE68(B088180A53F4)	0.002	0.021	1.013	-0.366	-0.122	0.000	-0.52	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.642	WT901BLE68(B088180A53F4)	0.004	0.021	1.013	-0.366	-0.122	0.000	-0.52	-0.30	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.642	WT901BLE68(B088180A53F4)	0.004	0.010	1.012	-0.183	-0.061	0.000	-0.52	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.642	WT901BLE68(B088180A53F4)	0.004	0.010	1.012	-0.183	-0.061	0.000	-0.52	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.653	WT901BLE68(4F145CEDD531)	0.061	0.029	1.031	0.122	0.061	0.000	1.47	-3.25	-100.51	-58.375	-11.058	-22.983	-0.63931	0.01355	0.02802	0.76825	25.6	13113	90
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.004	0.010	1.012	-0.183	-0.061	0.000	-0.52	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.002	0.010	1.012	-0.183	-0.061	0.000	-0.53	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.002	0.008	1.012	0.000	-0.061	0.000	-0.53	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.002	0.008	1.012	0.000	-0.061	0.000	-0.53	-0.29	59.80	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.002	0.008	1.012	0.000	-0.061	0.000	-0.53	-0.29	59.81	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.002	0.011	1.012	0.122	0.000	0.000	-0.52	-0.29	59.81	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.002	0.011	1.012	0.122	0.000	0.000	-0.52	-0.29	59.81	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.684	WT901BLE68(B088180A53F4)	0.002	0.011	1.012	0.122	0.000	0.000	-0.52	-0.29	59.81	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.011	1.012	0.122	0.000	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.016	1.012	0.305	0.000	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.016	1.012	0.305	0.000	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.016	1.012	0.305	0.000	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.016	1.012	0.305	0.000	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.027	1.015	0.366	0.122	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.027	1.015	0.366	0.122	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.711	WT901BLE68(B088180A53F4)	0.005	0.027	1.015	0.366	0.122	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.721	WT901BLE68(4F145CEDD531)	0.064	0.017	1.028	-0.305	-0.061	0.000	1.47	-3.25	-100.50	-58.375	-11.058	-22.983	-0.63931	0.01355	0.02802	0.76825	25.6	13113	90
2025-5-21 22:28:31.755	WT901BLE68(B088180A53F4)	0.003	0.027	1.015	0.366	0.122	0.000	-0.52	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.755	WT901BLE68(B088180A53F4)	0.003	0.035	1.016	0.305	0.183	0.000	-0.51	-0.29	59.82	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.755	WT901BLE68(B088180A53F4)	0.003	0.035	1.016	0.305	0.183	0.000	-0.51	-0.29	59.83	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.755	WT901BLE68(B088180A53F4)	0.003	0.035	1.016	0.305	0.183	0.000	-0.51	-0.29	59.83	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.755	WT901BLE68(B088180A53F4)	-0.001	0.035	1.016	0.305	0.183	0.000	-0.51	-0.29	59.83	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
2025-5-21 22:28:31.755	WT901BLE68(B088180A53F4)	-0.001	0.040	1.016	0.183	0.122	0.000	-0.51	-0.29	59.83	-45.583	-86.525	-180.108	0.86685	0.01047	0.00467	0.49835	23.1	13113	100
