time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)	Relative_Angle_deg	Slouch_Flag
2025-5-20 11:27:12.519	WT901BLE68(76B4B30218CB)	0.024	0.931	0.387	-14.771	40.833	23.193	64.85	1.76	-33.31	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.520	WT901BLE68(76B4B30218CB)	0.03	0.931	0.387	-14.771	40.833	23.193	64.8	1.74	-33.06	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.520	WT901BLE68(76B4B30218CB)	0.03	0.941	0.393	-16.235	39.734	20.264	64.73	1.73	-32.83	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.520	WT901BLE68(76B4B30218CB)	0.03	0.941	0.393	-16.235	39.734	20.264	64.67	1.72	-32.61	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.520	WT901BLE68(76B4B30218CB)	0.03	0.941	0.393	-16.235	39.734	20.264	64.6	1.7	-32.38	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.520	WT901BLE68(76B4B30218CB)	0.033	0.941	0.393	-16.235	39.734	20.264	64.54	1.69	-32.15	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.520	WT901BLE68(76B4B30218CB)	0.033	0.939	0.402	-17.7	41.077	22.766	64.47	1.68	-31.9	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.520	WT901BLE68(76B4B30218CB)	0.033	0.939	0.402	-17.7	41.077	22.766	64.39	1.65	-31.67	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.578	WT901BLE68(76B4B30218CB)	0.033	0.939	0.402	-17.7	41.077	22.766	64.32	1.64	-31.43	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.579	WT901BLE68(76B4B30218CB)	0.011	0.939	0.402	-17.7	41.077	22.766	64.25	1.61	-31.19	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.579	WT901BLE68(76B4B30218CB)	0.011	0.929	0.414	-19.836	41.626	24.17	64.17	1.59	-30.95	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.579	WT901BLE68(76B4B30218CB)	0.011	0.929	0.414	-19.836	41.626	24.17	64.08	1.57	-30.71	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.579	WT901BLE68(76B4B30218CB)	0.011	0.929	0.414	-19.836	41.626	24.17	64.0	1.54	-30.46	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.579	WT901BLE68(76B4B30218CB)	-0.011	0.929	0.414	-19.836	41.626	24.17	63.92	1.52	-30.22	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.579	WT901BLE68(76B4B30218CB)	-0.011	0.931	0.417	-19.653	41.565	22.949	63.84	1.51	-29.98	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.579	WT901BLE68(76B4B30218CB)	-0.011	0.931	0.417	-19.653	41.565	22.949	63.76	1.49	-29.73	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.639	WT901BLE68(76B4B30218CB)	-0.011	0.931	0.417	-19.653	41.565	22.949	63.68	1.47	-29.49	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.639	WT901BLE68(76B4B30218CB)	-0.03	0.931	0.417	-19.653	41.565	22.949	63.59	1.46	-29.25	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.03	0.928	0.417	-17.09	38.635	17.334	63.52	1.46	-29.04	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.03	0.928	0.417	-17.09	38.635	17.334	63.46	1.46	-28.82	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.03	0.928	0.417	-17.09	38.635	17.334	63.39	1.47	-28.61	-21.833	-39.292	-49.042	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.033	0.928	0.417	-17.09	38.635	17.334	63.31	1.47	-28.4	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.033	0.908	0.421	-7.385	34.119	15.076	63.29	1.48	-28.21	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.033	0.908	0.421	-7.385	34.119	15.076	63.27	1.48	-28.03	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.033	0.908	0.421	-7.385	34.119	15.076	63.25	1.49	-27.84	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.05	0.908	0.421	-7.385	34.119	15.076	63.23	1.49	-27.66	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.05	0.913	0.42	-12.329	33.691	11.23	63.18	1.52	-27.49	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.05	0.913	0.42	-12.329	33.691	11.23	63.13	1.54	-27.31	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.05	0.913	0.42	-12.329	33.691	11.23	63.08	1.57	-27.14	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.049	0.913	0.42	-12.329	33.691	11.23	63.04	1.59	-26.97	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.049	0.894	0.441	-10.559	31.86	13.733	63.0	1.6	-26.8	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.640	WT901BLE68(76B4B30218CB)	-0.049	0.894	0.441	-10.559	31.86	13.733	62.96	1.61	-26.63	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.699	WT901BLE68(76B4B30218CB)	-0.049	0.894	0.441	-10.559	31.86	13.733	62.92	1.62	-26.46	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.699	WT901BLE68(76B4B30218CB)	-0.081	0.894	0.441	-10.559	31.86	13.733	62.89	1.63	-26.29	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.699	WT901BLE68(76B4B30218CB)	-0.081	0.913	0.487	-11.536	30.64	12.329	62.84	1.64	-26.13	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.700	WT901BLE68(76B4B30218CB)	-0.081	0.913	0.487	-11.536	30.64	12.329	62.79	1.66	-25.98	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.700	WT901BLE68(76B4B30218CB)	-0.081	0.913	0.487	-11.536	30.64	12.329	62.75	1.68	-25.82	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.700	WT901BLE68(76B4B30218CB)	-0.111	0.913	0.487	-11.536	30.64	12.329	62.7	1.69	-25.66	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.700	WT901BLE68(76B4B30218CB)	-0.111	0.927	0.524	-15.137	27.954	8.728	62.64	1.71	-25.53	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.700	WT901BLE68(76B4B30218CB)	-0.111	0.927	0.524	-15.137	27.954	8.728	62.57	1.74	-25.41	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.111	0.927	0.524	-15.137	27.954	8.728	62.51	1.77	-25.27	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.139	0.927	0.524	-15.137	27.954	8.728	62.44	1.8	-25.15	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.139	0.875	0.544	-19.653	24.475	4.028	62.35	1.84	-25.05	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.139	0.875	0.544	-19.653	24.475	4.028	62.26	1.88	-24.95	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.139	0.875	0.544	-19.653	24.475	4.028	62.17	1.93	-24.86	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.127	0.875	0.544	-19.653	24.475	4.028	62.08	1.97	-24.76	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.127	0.85	0.566	-22.034	21.057	6.47	61.97	1.99	-24.68	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.729	WT901BLE68(76B4B30218CB)	-0.127	0.85	0.566	-22.034	21.057	6.47	61.87	2.02	-24.59	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.127	0.85	0.566	-22.034	21.057	6.47	61.77	2.05	-24.51	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.122	0.85	0.566	-22.034	21.057	6.47	61.66	2.08	-24.43	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.122	0.818	0.542	-22.217	19.836	9.277	61.56	2.09	-24.35	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.122	0.818	0.542	-22.217	19.836	9.277	61.45	2.1	-24.26	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.122	0.818	0.542	-22.217	19.836	9.277	61.34	2.12	-24.18	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.16	0.818	0.542	-22.217	19.836	9.277	61.23	2.13	-24.1	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.16	0.766	0.515	-18.494	16.785	5.859	61.14	2.16	-24.04	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.759	WT901BLE68(76B4B30218CB)	-0.16	0.766	0.515	-18.494	16.785	5.859	61.05	2.18	-23.99	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.818	WT901BLE68(76B4B30218CB)	-0.16	0.766	0.515	-18.494	16.785	5.859	60.96	2.21	-23.93	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.818	WT901BLE68(76B4B30218CB)	-0.161	0.766	0.515	-18.494	16.785	5.859	60.87	2.23	-23.88	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
2025-5-20 11:27:12.818	WT901BLE68(76B4B30218CB)	-0.161	0.722	0.499	-11.047	11.353	4.272	60.81	2.25	-23.86	-18.358	-35.058	-52.358	0.78787	0.51819	-0.16354	-0.28958	24.4	13113	100	54.54381986330913	1
