Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 08:15:37.547,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.646, 0.708, 0.303, 0.122, -1.16, -0.916, 63.77, 39.249, -11.453, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.548,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.708, 0.303, 0.122, -1.16, -0.916, 63.77, 39.254, -11.464, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.548,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.707, 0.304, -0.427, -0.671, -1.038, 63.765, 39.254, -11.475, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.549,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.707, 0.304, -0.427, -0.671, -1.038, 63.765, 39.26, -11.486, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.549,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.707, 0.304, -0.427, -0.671, -1.038, 63.759, 39.265, -11.492, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.549,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.707, 0.304, -0.427, -0.671, -1.038, 63.759, 39.271, -11.503, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.549,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.709, 0.309, -0.916, -0.244, -1.16, 63.754, 39.276, -11.508, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.549,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.709, 0.309, -0.916, -0.244, -1.16, 63.748, 39.282, -11.519, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.605,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.709, 0.309, -0.916, -0.244, -1.16, 63.748, 39.287, -11.525, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.606,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.646, 0.709, 0.309, -0.916, -0.244, -1.16, 63.743, 39.293, -11.53, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.606,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.646, 0.709, 0.312, -0.244, -0.549, -1.16, 63.743, 39.298, -11.541, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.607,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.646, 0.709, 0.312, -0.244, -0.549, -1.16, 63.737, 39.304, -11.547, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.607,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.646, 0.709, 0.312, -0.244, -0.549, -1.16, 63.737, 39.309, -11.558, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.607,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.709, 0.312, -0.244, -0.549, -1.16, 63.732, 39.309, -11.563, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.607,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.707, 0.307, 0.427, -1.038, -1.099, 63.732, 39.315, -11.574, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.607,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.707, 0.307, 0.427, -1.038, -1.099, 63.732, 39.32, -11.585, 15.007, -74.767, -144.140, 21.37, -0.77023, -0.53491, -0.23227, 0.25797,
 08:15:37.619,d6:24:01:31:b7:6e, 2015-01-01 00:57:25.260, -0.641, -0.337, 0.72, 1.465, 0, -1.038, -24.653, 38.71, -105.007, 3.593, 10.693, -29.653, 23.21, 0.61716, 0.13428, 0.35687, -0.6882,
 08:15:37.636,f7:68:33:b1:9e:f1, 2015-01-01 01:01:40.225, -0.644, 0.707, 0.307, 0.427, -1.038, -1.099, 63.732, 39.32, -11.596, 15.007, -74.767, -144.140, 21.37, -0.76892, -0.53558, -0.23114, 0.26144,
