time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)	Relative_Angle_deg	Slouch_Flag	Elapsed_sec
2025-05-20 11:27:12.526	WT901BLE68(66B8CDDB35E6)	0.417	0.889	0.242	16.785	40.771	5.188	72.64	-19.62	-86.81	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.0
2025-05-20 11:27:12.526	WT901BLE68(66B8CDDB35E6)	0.417	0.889	0.242	16.785	40.771	5.188	72.66	-19.6	-86.59	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.0
2025-05-20 11:27:12.526	WT901BLE68(66B8CDDB35E6)	0.417	0.889	0.242	16.785	40.771	5.188	72.67	-19.57	-86.37	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.0
2025-05-20 11:27:12.526	WT901BLE68(66B8CDDB35E6)	0.417	0.889	0.242	16.785	40.771	5.188	72.7	-19.54	-86.15	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.0
2025-05-20 11:27:12.526	WT901BLE68(66B8CDDB35E6)	0.417	0.897	0.237	16.052	42.542	4.7	72.71	-19.52	-85.92	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.0
2025-05-20 11:27:12.526	WT901BLE68(66B8CDDB35E6)	0.417	0.897	0.237	16.052	42.542	4.7	72.72	-19.49	-85.7	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.0
2025-05-20 11:27:12.526	WT901BLE68(66B8CDDB35E6)	0.417	0.897	0.237	16.052	42.542	4.7	72.73	-19.46	-85.47	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.0
2025-05-20 11:27:12.527	WT901BLE68(66B8CDDB35E6)	0.407	0.897	0.237	16.052	42.542	4.7	72.75	-19.43	-85.25	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.001
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.407	0.913	0.233	15.198	45.41	5.493	72.75	-19.4	-85.01	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.407	0.913	0.233	15.198	45.41	5.493	72.75	-19.37	-84.77	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.407	0.913	0.233	15.198	45.41	5.493	72.76	-19.35	-84.53	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.393	0.913	0.233	15.198	45.41	5.493	72.76	-19.32	-84.3	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.393	0.925	0.241	15.198	48.401	10.132	72.76	-19.31	-84.04	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.393	0.925	0.241	15.198	48.401	10.132	72.75	-19.3	-83.79	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.393	0.925	0.241	15.198	48.401	10.132	72.75	-19.29	-83.53	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.558	WT901BLE68(66B8CDDB35E6)	0.39	0.925	0.241	15.198	48.401	10.132	72.75	-19.27	-83.28	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.032
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.39	0.93	0.271	16.296	50.903	15.015	72.74	-19.28	-83.0	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.39	0.93	0.271	16.296	50.903	15.015	72.73	-19.29	-82.73	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.39	0.93	0.271	16.296	50.903	15.015	72.73	-19.3	-82.45	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.363	0.93	0.271	16.296	50.903	15.015	72.72	-19.3	-82.17	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.363	0.919	0.276	18.494	51.636	21.545	72.72	-19.34	-81.89	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.363	0.919	0.276	18.494	51.636	21.545	72.73	-19.37	-81.6	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.363	0.919	0.276	18.494	51.636	21.545	72.73	-19.41	-81.31	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.617	WT901BLE68(66B8CDDB35E6)	0.341	0.919	0.276	18.494	51.636	21.545	72.72	-19.45	-81.02	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.091
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.341	0.91	0.263	22.644	52.063	22.583	72.75	-19.49	-80.74	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.341	0.91	0.263	22.644	52.063	22.583	72.76	-19.53	-80.45	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.341	0.91	0.263	22.644	52.063	22.583	72.78	-19.57	-80.16	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.296	0.91	0.263	22.644	52.063	22.583	72.8	-19.61	-79.88	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.296	0.942	0.245	20.203	54.871	22.339	72.8	-19.64	-79.57	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.296	0.942	0.245	20.203	54.871	22.339	72.8	-19.67	-79.27	-45.992	-18.0	-5.642	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.309	0.942	0.245	20.203	54.871	22.339	72.8	-19.7	-78.98	-40.108	-19.292	-8.442	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.651	WT901BLE68(66B8CDDB35E6)	0.309	0.975	0.256	16.785	61.34	23.743	72.77	-19.73	-78.65	-40.108	-19.292	-8.442	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.125
2025-05-20 11:27:12.677	WT901BLE68(66B8CDDB35E6)	0.309	0.975	0.256	16.785	61.34	23.743	72.75	-19.75	-78.32	-40.108	-19.292	-8.442	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.151
2025-05-20 11:27:12.677	WT901BLE68(66B8CDDB35E6)	0.309	0.975	0.256	16.785	61.34	23.743	72.71	-19.78	-77.99	-40.108	-19.292	-8.442	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.151
2025-05-20 11:27:12.677	WT901BLE68(66B8CDDB35E6)	0.303	0.975	0.256	16.785	61.34	23.743	72.69	-19.8	-77.66	-40.108	-19.292	-8.442	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.151
2025-05-20 11:27:12.677	WT901BLE68(66B8CDDB35E6)	0.303	0.968	0.295	21.118	63.538	30.762	72.67	-19.86	-77.31	-40.108	-19.292	-8.442	0.63608	0.31549	-0.50833	-0.48718	24.5	13113	100	54.54381986330913	1	0.151
