time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%),Elapsed_sec,Beta (deg)
2025-05-21 22:28:31.653,WT901BLE68(4F145CEDD531),0.061,0.029,1.031,0.122,0.061,0.0,1.47,-3.25,-100.51,-58.375,-11.058,-22.983,-0.6393438664620629,0.013550717790369229,0.028021484316320722,0.7682906968598642,25.6,13113,90,0.0,100.42267795961675
2025-05-21 22:28:31.721,WT901BLE68(4F145CEDD531),0.064,0.017,1.028,-0.305,-0.061,0.0,1.47,-3.25,-100.5,-58.375,-11.058,-22.983,-0.6393438664620629,0.013550717790369229,0.028021484316320722,0.7682906968598642,25.6,13113,90,0.0,100.42267795961675
2025-05-21 22:28:31.856,WT901BLE68(4F145CEDD531),0.053,0.03,1.032,0.549,0.122,0.0,1.47,-3.25,-100.49,-58.342,-10.758,-22.675,-0.6393438664620629,0.013550717790369229,0.028021484316320722,0.7682906968598642,25.6,13113,90,0.0,100.42267795961675
2025-05-21 22:28:31.925,WT901BLE68(4F145CEDD531),0.055,0.03,1.03,-0.122,-0.061,0.0,1.49,-3.24,-100.49,-58.342,-10.758,-22.675,-0.6393438664620629,0.013550717790369229,0.028021484316320722,0.7682906968598642,25.6,13113,90,0.0,100.42267795961675
2025-05-21 22:28:32.340,WT901BLE68(4F145CEDD531),0.046,0.02,1.03,-0.061,0.0,0.0,1.48,-3.25,-100.48,-58.342,-10.758,-22.675,-0.6395298722106727,0.013550632945198773,0.028021308865274513,0.7681358793510833,25.6,13113,90,0.0,100.3949642239863
2025-05-21 22:28:32.126,WT901BLE68(4F145CEDD531),0.054,0.02,0.99,10.01,3.052,-0.244,0.91,-3.41,-100.48,-58.342,-10.758,-22.675,-0.6395298722106727,0.013550632945198773,0.028021308865274513,0.7681358793510833,25.6,13113,90,0.0,100.3949642239863
2025-05-21 22:28:32.238,WT901BLE68(4F145CEDD531),0.057,0.008,1.026,1.404,0.305,0.122,1.09,-3.32,-99.87,-58.758,-9.992,-23.017,-0.6395298722106727,0.013550632945198773,0.028021308865274513,0.7681358793510833,25.6,13113,90,0.0,100.3949642239863
2025-05-21 22:28:32.330,WT901BLE68(4F145CEDD531),0.052,-0.051,1.03,1.892,0.488,2.197,1.07,-3.33,-99.8,-58.758,-9.992,-23.017,-0.6395298722106727,0.013550632945198773,0.028021308865274513,0.7681358793510833,25.6,13113,90,0.0,100.3949642239863
2025-05-21 22:28:32.441,WT901BLE68(4F145CEDD531),0.06,0.072,1.033,-23.987,-4.333,33.813,0.75,-3.38,-96.59,-58.758,-9.992,-23.017,-0.6654443932177353,0.016420848704761296,0.025571321643163603,0.7458285478394596,25.6,13113,90,0.044,96.49172610174026
2025-05-21 22:28:32.533,WT901BLE68(4F145CEDD531),0.06,0.023,1.033,0.244,0.061,0.061,0.77,-3.39,-96.58,-58.758,-9.992,-23.017,-0.6654443932177353,0.016420848704761296,0.025571321643163603,0.7458285478394596,25.6,13113,90,0.045,96.49172610174026
